stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,platform_code,country
8895489,,VIJFHUIZEN,,50.94325,3.98125,,,0,S8895489,,Belgium
8895505,,GRAMMONT,,50.77113,3.872326,,,0,S8895505,,Belgium
8895570,,LIERDE,,50.81624,3.826561,,,0,S8895570,,Belgium
8895612,,VIANE-MOERBEKE,,50.751979999999996,3.91734,,,0,S8895612,,Belgium
8895620,,GAMMERAGES,,50.74392,3.965726,,,0,S8895620,,Belgium
8895638,,TOLLEMBEEK,,50.73552,3.992826,,,0,S8895638,,Belgium
8895646,,HERNE,,50.72371,4.014578,,,0,S8895646,,Belgium
8895711,,SCHENDELBEKE,,50.79785,3.899285,,,0,S8895711,,Belgium
8895729,,IDEGEM,,50.80188,3.921556,,,0,S8895729,,Belgium
8895737,,ZANDBERGEN,,50.80699,3.957652,,,0,S8895737,,Belgium
8895745,,APPELTERRE,,50.81307,3.972107,,,0,S8895745,,Belgium
8895752,,EICHEM,,50.82399,3.993748,,,0,S8895752,,Belgium
8895760,,NINOVE,,50.83951,4.026137,,,0,S8895760,,Belgium
8895778,,OKEGEM,,50.85772,4.054554,,,0,S8895778,,Belgium
8895802,,DENDERLEEUW,,50.89193,4.07183,,,0,S8895802,,Belgium
8895836,,LIEDEKERKE,,50.882529999999996,4.09529,,,0,S8895836,,Belgium
8895844,,IDDERGEM,,50.87688,4.068488,,,0,S8895844,,Belgium
8895851,,WELLE,,50.90327,4.050617,,,0,S8895851,,Belgium
8895869,,HAALTERT,,50.90684,4.023957,,,0,S8895869,,Belgium
8895877,,EDE,,50.91105,3.987525,,,0,S8895877,,Belgium
8896008,,COURTRAI,,50.8245,3.264548,,,0,S8896008,,Belgium
8896115,,HARELBEKE,,50.85587,3.314007,,,0,S8896115,,Belgium
8896149,,WAREGEM,,50.89246,3.42551,,,0,S8896149,,Belgium
8896230,,VICHTE,,50.833659999999995,3.391627,,,0,S8896230,,Belgium
8896305,,MENIN,,50.799490000000006,3.11379,,,0,S8896305,,Belgium
8896370,,WEVELGEM,,50.81152,3.183519,,,0,S8896370,,Belgium
8896388,,BISSEGEM,,50.82585,3.224208,,,0,S8896388,,Belgium
8896396,,WERVIK,,50.781859999999995,3.04698,,,0,S8896396,,Belgium
8896412,,COMINES,,50.77207,2.999286,,,0,S8896412,,Belgium
8896503,,YPRES,,50.8474,2.87659,,,0,S8896503,,Belgium
8896735,,POPERINGE,,50.85445,2.736345,,,0,S8896735,,Belgium
8896800,,ROULERS,,50.94903,3.130415,,,0,S8896800,,Belgium
8896909,,IZEGEM,,50.92115,3.212089,,,0,S8896909,,Belgium
8896925,,INGELMUNSTER,,50.91433,3.255416,,,0,S8896925,,Belgium
