stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code,zone_id,country
stoparea:18009,hlms,HAARLEM SPAARNWOUDE,52.3830456338,4.67106699944,1,,Europe/Amsterdam,0.0,,,Netherlands
stoparea:18010,lkp,KAPELLEN,51.312666,4.43268,1,,Europe/Amsterdam,0.0,,,Belgium
stoparea:18012,pmr,PURMEREND,52.5036950327,4.95416879654,1,,Europe/Amsterdam,0.0,,,Netherlands
stoparea:18013,hmh,HELMOND 'T HOUT,51.4678673875,5.6306996941600005,1,,Europe/Amsterdam,0.0,,,Netherlands
stoparea:18014,pmw,PURMEREND WEIDEVENNE,52.4963754906,4.93502184749,1,,Europe/Amsterdam,0.0,,,Netherlands
stoparea:18015,hmn,HEMMEN-DODEWAARD,51.922287623900004,5.673440694809999,1,,Europe/Amsterdam,0.0,,,Netherlands
stoparea:18016,bdpb,BREDA-PRINSENBEEK,51.605291207600004,4.72233474255,1,,Europe/Amsterdam,0.0,,,Netherlands
stoparea:18017,atwlb,ANTWERPEN-LUCHTBAL,51.244890000000005,4.42507,1,,Europe/Amsterdam,0.0,,,Belgium
stoparea:18018,mech,MECHELEN,51.0176154241,4.48370933533,1,,Europe/Amsterdam,0.0,,,Belgium
stoparea:18019,st,SOEST,52.1727407626,5.31043052673,1,,Europe/Amsterdam,0.0,,,Netherlands
stoparea:18020,sn,SCHINNEN,50.9388465849,5.87498992682,1,,Europe/Amsterdam,0.0,,,Netherlands
stoparea:18021,tbr,TILBURG REESHOF,51.573855661,4.99356508255,1,,Europe/Amsterdam,0.0,,,Netherlands
stoparea:18022,sm,SWALMEN,51.2363554455,6.03306055069,1,,Europe/Amsterdam,0.0,,,Netherlands
stoparea:18023,sk,SNEEK,53.032529645699995,5.65191328526,1,,Europe/Amsterdam,0.0,,,Netherlands
stoparea:18024,sd,SOESTDIJK,52.1839020129,5.299819707869999,1,,Europe/Amsterdam,0.0,,,Netherlands
stoparea:18025,almm,ALMERE MUZIEKWIJK,52.3677060023,5.19068598747,1,,Europe/Amsterdam,0.0,,,Netherlands
stoparea:18027,tl,TIEL,51.88957056,5.423238873480001,1,,Europe/Amsterdam,0.0,,,Netherlands
stoparea:18028,ldl,LEIDEN LAMMENSCHANS,52.146538819499995,4.49349403381,1,,Europe/Amsterdam,0.0,,,Netherlands
stoparea:18029,ldm,LEERDAM,51.89451332270001,5.09360611439,1,,Europe/Amsterdam,0.0,,,Netherlands
stoparea:18030,almb,ALMERE BUITEN,52.394154041899995,5.277938246730001,1,,Europe/Amsterdam,0.0,,,Netherlands
stoparea:18031,tg,TEGELEN,51.3393406368,6.14325374365,1,,Europe/Amsterdam,0.0,,,Netherlands
stoparea:18032,zbm,ZALTBOMMEL,51.8078253545,5.26313245296,1,,Europe/Amsterdam,0.0,,,Netherlands
stoparea:18034,almp,ALMERE PARKWIJK,52.376735546599996,5.244641304019999,1,,Europe/Amsterdam,0.0,,,Netherlands
stoparea:18037,dtc,DOETINCHEM,51.9585098609,6.29611819983,1,,Europe/Amsterdam,0.0,,,Netherlands
stoparea:18039,ledn,LEIDEN CENTRAAL,52.1663529517,4.4820678234099995,1,,Europe/Amsterdam,0.0,,,Netherlands
stoparea:18040,ac,ABCOUDE,52.2796589706,4.976457953450001,1,,Europe/Amsterdam,0.0,,,Netherlands
stoparea:18041,zlw,LAGE ZWALUWE,51.69038312560001,4.66302573681,1,,Europe/Amsterdam,0.0,,,Netherlands
stoparea:18042,aw,AACHEN WEST,50.780327,6.07072,1,,Europe/Amsterdam,0.0,,,Germany
stoparea:18044,bmr,BOXMEER,51.644378627799995,5.93949437141,1,,Europe/Amsterdam,0.0,,,Netherlands
stoparea:18045,kmw,KOUDUM-MOLKWERUM,52.902818,5.41069,1,,Europe/Amsterdam,0.0,,,Netherlands
stoparea:18046,gnd,HARDINXVELD-GIESSENDAM,51.8304669489,4.8359182477,1,,Europe/Amsterdam,0.0,,,Netherlands
stoparea:18048,bmn,BRUMMEN,52.0911289946,6.14723145962,1,,Europe/Amsterdam,0.0,,,Netherlands
stoparea:18049,ww,WINTERSWIJK,51.967729,6.71552,1,,Europe/Amsterdam,0.0,,,Netherlands
stoparea:18050,fkth,KALMTHOUT,51.391035363,4.466806054119999,1,,Europe/Amsterdam,0.0,,,Belgium
stoparea:18051,rta,ROTTERDAM ALEXANDER,51.9516764051,4.55200374126,1,,Europe/Amsterdam,0.0,,,Netherlands
stoparea:18052,hbzm,HARDINXVELD BLAUWE ZOOM,51.8296381515,4.81545031071,1,,Europe/Amsterdam,0.0,,,Netherlands
stoparea:18053,wt,WEERT,51.2487474211,5.7030791044199995,1,,Europe/Amsterdam,0.0,,,Netherlands
stoparea:18056,ssh,SASSENHEIM,52.2176910471,4.528512954709999,1,,Europe/Amsterdam,0.0,,,Netherlands
stoparea:18057,vd,VORDEN,52.107154261999995,6.317567825319999,1,,Europe/Amsterdam,0.0,,,Netherlands
stoparea:18058,vndw,VEENENDAAL WEST,52.0282674849,5.531567931180001,1,,Europe/Amsterdam,0.0,,,Netherlands
stoparea:18060,ana,ANNA PAULOWNA,52.8676984353,4.81146991253,1,,Europe/Amsterdam,0.0,,,Netherlands
stoparea:18061,kma,KROMMENIE-ASSENDELFT,52.4943583305,4.76149231195,1,,Europe/Amsterdam,0.0,,,Netherlands
stoparea:18062,htn,HOUTEN,52.0349077579,5.16753315926,1,,Europe/Amsterdam,0.0,,,Netherlands
stoparea:18063,hto,HERTOGENB ('S) OOST,51.700796999999994,5.31849,1,,Europe/Amsterdam,0.0,,,Netherlands
stoparea:18064,vndc,VEENENDAAL CENTRUM,52.0200763466,5.549058616159999,1,,Europe/Amsterdam,0.0,,,Netherlands
stoparea:18065,fvs,VISE,50.741848,5.695880000000001,1,,Europe/Amsterdam,0.0,,,Belgium
stoparea:18066,hdrz,DEN HELDER ZUID,52.93291899999999,4.76434,1,,Europe/Amsterdam,0.0,,,Netherlands
stoparea:18067,gvmw,DEN HAAG MOERWIJK,52.0547047349,4.30855035782,1,,Europe/Amsterdam,0.0,,,Netherlands
stoparea:18069,vdl,VOERENDAAL,50.886696,5.92961,1,,Europe/Amsterdam,0.0,,,Netherlands
stoparea:18070,vdm,VEENDAM,53.1052844297,6.886475086210001,1,,Europe/Amsterdam,0.0,,,Netherlands
stoparea:18072,had,HEEMSTEDE-AERDENHOUT,52.359464154099996,4.6067905426,1,,Europe/Amsterdam,0.0,,,Netherlands
stoparea:18075,amri,ALMELO DE RIET,52.3422351688,6.666598320009999,1,,Europe/Amsterdam,0.0,,,Netherlands
stoparea:18077,amrn,ALKMAAR NOORD,52.643806999999995,4.76386,1,,Europe/Amsterdam,0.0,,,Netherlands
stoparea:18079,ebeo,BOENEN,51.598055,7.75735,1,,Europe/Amsterdam,0.0,,,Germany
stoparea:18080,wc,WIJCHEN,51.8112332637,5.72993338108,1,,Europe/Amsterdam,0.0,,,Netherlands
