route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_color,route_text_color,route_url
62923,ARR,6081,"Heechsan - Burgum, Kwekerstrjitte",,3,,,
62924,ARR,6071,"Eastermar - Burgum, Kwekerstrjitte",,3,,,
62925,ARR,6091,"Earnewald - Nijega, Dorpshuis",,3,,,
62926,ARR,6092,"Earnewald - Nijega, Rijksweg",,3,,,
62928,ARR,6061,"Garyp, Dorp - Burgum, Kwekerstrjitte",,3,,,
62929,ARR,6062,"Garyp, Dorp - Nijega, Rijksweg",,3,,,
62931,ARR,9321,"Wons, Salverdastraat - Bolsward, Busstation",,3,,,
62932,ARR,9281,"Makkum, Botterstraat - Kop Afsluitdijk",,3,,,
62933,ARR,9271,"Makkum, Botterstraat - Bolsward, Busstation",,3,,,
62934,ARR,9261,"Allingawier - Bolsward, Busstation",,3,,,
62935,ARR,9251,"Exmorra - Bolsward, Busstation",,3,,,
62936,ARR,9241,"Idsegahuizum Dorp - Bolsward, Busstation",,3,,,
62937,ARR,9231,"Piaam - Bolsward, Busstation",,3,,,
63628,OVERAL,162,Alkmaar Station - Heerhugowaard Icaruslaan,,3,e00000,ffffff,http://www.connexxion.nl/dienstregeling/lijn?ID=H162
63643,OVERAL,129,Alkmaar Station - Noordbeemster - P'rend Tramplein,,3,cc99ff,ffffff,http://www.connexxion.nl/dienstregeling/lijn?ID=H129
63644,OVERAL,30,Den Helder Station - Station Zuid - Julianadorp,,3,e00000,ffffff,http://www.connexxion.nl/dienstregeling/lijn?ID=H030
63657,CXX,320,Amsterdam - Hilversum,,3,e00000,ffffff,http://www.connexxion.nl/dienstregeling/lijn?ID=F320
63659,OVERAL,139,Hoorn Station - Abbekerk - Opperdoes - Medemblik,,3,cc99ff,ffffff,http://www.connexxion.nl/dienstregeling/lijn?ID=H139
63662,OVERAL,1,Alkmaar Station - de Hoef,,3,e00000,ffffff,http://www.connexxion.nl/dienstregeling/lijn?ID=H001
63678,CXX,356,Haarlem Station - A'dam Bijlmer ArenA via KP Noord,,3,77216f,ffffff,http://www.connexxion.nl/dienstregeling/lijn?ID=M356
63680,CXX,78,Wijk aan Zee - Beverwijk Station,,3,0000ff,ffffff,http://www.connexxion.nl/dienstregeling/lijn?ID=N078
63685,OVERAL,250,Middenmeer - Alkmaar Station,,3,0000ff,ffffff,http://www.connexxion.nl/dienstregeling/lijn?ID=H250
66763,IFF:NS,Sprinter,Hertogenbosch ('s) <-> Deurne SPR4400,,2,,,
66765,IFF:NS,Intercity,Nachtnettrein Utrecht Centraal <-> Rotterdam Centraal,,2,,,
66772,IFF:NOORD,Sneltrein,Apeldoorn <-> Winterswijk S30400,,2,,,
67104,UOV,122,Overvecht - Nieuw-Loosdrecht,,3,ffe600,000000,http://u-ov.info/lijn/u122
67106,UOV,85,Leerdam - Utrecht,,3,ffe600,000000,http://u-ov.info/lijn/u085
67116,UOV,74,Vianen - Utrecht CS - Zeist,,3,ffe600,000000,http://u-ov.info/lijn/u074
67121,UOV,50,Utrecht - Wageningen/Veenendaal,,3,ed1c29,ffffff,http://u-ov.info/lijn/u050
67144,UOV,127,Vleuten - Kockengen,,3,ffe600,000000,http://u-ov.info/lijn/u127
67145,UOV,41,Wijk bij Duurstede - Utrecht CS,,3,00af98,ffffff,http://u-ov.info/lijn/u041
67148,UOV,28,Vleuterweide - Utrecht CS - Science Park,,3,4cac48,ffffff,http://u-ov.info/lijn/u028
67150,UOV,48,Houten - Nieuwegein - Maarssen,,3,ffe600,000000,http://u-ov.info/lijn/u048
67282,BRENG,2,St Maartenskliniek - Nijmegen CS - Lindenholt West,,3,,,http://www.breng.nl/dienstregeling/lijn?ID=X002
